CPU	 5	 0.03335
CPU	 15	 0.01665
CPU	 13	 0.033325
CPU	 11	 0.03335
CPU	 3	 0.033325
CPU	 1	 0.033325
CPU	 7	 0.033325
CPU	 9	 0.033325
CPU	 17	 0.016675
CPU	 19	 0.016675
CPU	 21	 0.05
CPU	 23	 0.033325
CPU	 25	 0.03335
CPU	 27	 0.033325
CPU	 29	 0.033325
CPU	 31	 0.03335
CPU	 33	 0.033325
CPU	 35	 0.033325
CPU	 37	 0.03335
CPU	 39	 0.033325
CPU	 41	 0.016675
CPU	 43	 0.033325
CPU	 45	 0.033325
CPU	 47	 0.03335
CPU	 49	 0.033325
CPU	 51	 0.033325
CPU	 53	 0.03335
CPU	 55	 0.05
CPU	 57	 0.033325
CPU	 59	 0.033325
CPU	 61	 0.03335
CPU	 63	 0.033325
CPU	 65	 0.033325
CPU	 67	 0.03335
CPU	 69	 0.033325
CPU	 71	 0.033325
CPU	 73	 0.03335
CPU	 75	 0.033325
CPU	 77	 0.033325
CPU	 79	 0.03335
CPU	 81	 0.033325
CPU	 83	 0.033325
CPU	 85	 0.03335
CPU	 87	 0.033325
CPU	 89	 0.033325
CPU	 91	 0.03335
CPU	 93	 0.03335
CPU	 95	 0.033325
CPU	 97	 0.033325
CPU	 99	 0.016675
IO	 0	 106.967
IO	 4	 106.9
IO	 2	 106.933
IO	 6	 106.867
IO	 8	 106.833
IO	 10	 106.8
IO	 12	 106.767
IO	 14	 106.717
IO	 16	 106.683
IO	 18	 106.667
IO	 20	 106.633
IO	 22	 106.583
IO	 24	 106.55
IO	 26	 106.517
IO	 28	 106.483
IO	 30	 106.45
IO	 32	 106.417
IO	 34	 106.383
IO	 36	 106.35
IO	 38	 106.317
IO	 40	 106.283
IO	 42	 106.267
IO	 44	 106.233
IO	 46	 106.2
IO	 48	 106.167
IO	 50	 106.133
IO	 52	 106.1
IO	 54	 106.067
IO	 56	 106.017
IO	 58	 105.983
IO	 60	 105.95
IO	 62	 105.917
IO	 64	 105.883
IO	 66	 105.85
IO	 68	 105.817
IO	 70	 105.783
IO	 72	 105.75
IO	 74	 105.717
IO	 76	 105.683
IO	 78	 105.65
IO	 80	 105.617
IO	 82	 105.583
IO	 84	 105.55
IO	 86	 105.517
IO	 88	 105.483
IO	 90	 105.45
IO	 92	 105.417
IO	 94	 105.367
IO	 96	 105.333
IO	 98	 105.3
