CPU	 1	 0.1	 0.0361111
CPU	 3	 0.133325	 0.0368571
CPU	 5	 0.116675	 0.00371429
CPU	 9	 0.1	 0.00185714
CPU	 7	 0.1	 0.011875
IO	 8	 18.2167	 3.00552e-05
IO	 4	 18.45	 3.00454e-05
IO	 6	 18.3333	 3.00405e-05
IO	 2	 18.6833	 3.00147e-05
IO	 0	 18.6833	 3.00772e-05
CPU	 1	 0.11665	 0.0186667
CPU	 3	 0.13335	 0.0084
CPU	 5	 0.11665	 0.022
CPU	 7	 0.166675	 0.0176667
CPU	 9	 0.233325	 0.0135
CPU	 11	 0.25	 0.0155
CPU	 13	 0.266675	 0.0205
CPU	 15	 0.25	 0.0115
CPU	 17	 0.216675	 0.0015
CPU	 19	 0.26665	 0.026
CPU	 21	 0.25	 0.0225
CPU	 23	 0.25	 0.011
CPU	 25	 0.216675	 0.0075
CPU	 27	 0.233325	 0.0035
CPU	 29	 0.25	 0.023
CPU	 31	 0.266675	 0.0185
CPU	 33	 0.216675	 0.0035
CPU	 35	 0.183325	 0.0194
CPU	 37	 0.21665	 0.004
CPU	 39	 0.266675	 0.017
CPU	 41	 0.233325	 0.0205
CPU	 43	 0.23335	 0.004
CPU	 45	 0.25	 0.0245
CPU	 47	 0.25	 0.0205
CPU	 49	 0.2	 0
CPU	 51	 0.25	 0.0115
CPU	 53	 0.25	 0.006
CPU	 55	 0.266675	 0.024
CPU	 57	 0.183325	 0
CPU	 59	 0.233325	 0.0125
CPU	 61	 0.233325	 0.0015
CPU	 63	 0.216675	 0.0075
CPU	 65	 0.2	 0.0208
CPU	 67	 0.21665	 0.007
CPU	 69	 0.25	 0.0105
CPU	 71	 0.216675	 0.004
CPU	 73	 0.233325	 0.0075
CPU	 75	 0.2	 0.0055
CPU	 77	 0.233325	 0.0075
CPU	 79	 0.23335	 0.004
CPU	 81	 0.25	 0.012
CPU	 83	 0.233325	 0.004
CPU	 85	 0.233325	 0.001
CPU	 87	 0.23335	 0.012
CPU	 89	 0.3	 0.0015
CPU	 91	 0.15	 0.0238333
CPU	 93	 0.166675	 0.0278333
CPU	 95	 0.25	 0.0095
CPU	 97	 0.21665	 0
CPU	 99	 0.23335	 0.007
IO	 0	 452.967	 0.000325236
IO	 2	 452.85	 0.000287909
IO	 4	 452.717	 0.000320976
IO	 6	 452.6	 0.00031522
IO	 8	 452.433	 0.000326396
IO	 10	 452.2	 0.000316814
IO	 12	 451.95	 0.000319016
