CPU	 1	 0.033325
CPU	 3	 0.03335
CPU	 5	 0.033325
CPU	 7	 0.033325
CPU	 9	 0.03335
CPU	 11	 0.033325
CPU	 13	 0.033325
CPU	 15	 0.03335
CPU	 17	 0.033325
CPU	 19	 0.033325
CPU	 21	 0.033325
CPU	 23	 0.03335
CPU	 25	 0.033325
CPU	 27	 0.033325
CPU	 29	 0.03335
CPU	 31	 0.033325
CPU	 33	 0.033325
CPU	 35	 0.03335
CPU	 37	 0.033325
CPU	 39	 0.033325
CPU	 41	 0.03335
CPU	 43	 0.033325
CPU	 45	 0.033325
CPU	 47	 0.03335
CPU	 49	 0.033325
CPU	 51	 0.033325
CPU	 53	 0.03335
CPU	 55	 0.033325
CPU	 57	 0.033325
CPU	 59	 0.03335
CPU	 61	 0.033325
CPU	 63	 0.033325
CPU	 65	 0.033325
CPU	 67	 0.03335
CPU	 69	 0.033325
CPU	 71	 0.033325
CPU	 73	 0.03335
CPU	 75	 0.033325
CPU	 77	 0.033325
CPU	 79	 0.03335
CPU	 81	 0.033325
CPU	 83	 0.033325
CPU	 85	 0.03335
CPU	 87	 0.033325
CPU	 89	 0.033325
CPU	 91	 0.05
CPU	 93	 0.03335
CPU	 95	 0.033325
CPU	 97	 0.033325
CPU	 99	 0.03335
IO	 78	 179.717
IO	 92	 179.533
IO	 38	 180.85
IO	 46	 181.083
IO	 96	 180.317
IO	 86	 180.65
IO	 50	 181.583
IO	 82	 181.15
IO	 26	 182.233
IO	 14	 182.533
IO	 8	 182.85
IO	 90	 181.467
IO	 76	 181.717
IO	 44	 182.267
IO	 16	 182.817
IO	 88	 181.6
IO	 24	 182.683
IO	 12	 182.967
IO	 54	 182.35
IO	 70	 182.15
IO	 60	 182.433
IO	 72	 182.267
IO	 68	 182.35
IO	 98	 181.85
IO	 18	 183.25
IO	 36	 183.083
IO	 40	 183.017
IO	 10	 183.55
IO	 6	 183.617
IO	 28	 183.233
IO	 42	 183.033
IO	 30	 183.317
IO	 94	 182.267
IO	 52	 183.017
IO	 20	 183.6
IO	 58	 182.967
IO	 62	 182.95
IO	 32	 183.517
IO	 56	 183.15
IO	 74	 182.833
IO	 84	 182.667
IO	 2	 184.083
IO	 4	 184.05
IO	 48	 183.3
IO	 34	 183.55
IO	 66	 183.017
IO	 64	 183.05
IO	 80	 182.8
IO	 22	 183.8
IO	 0	 184.2
