CPU	 1	 0.05
CPU	 3	 0.03335
CPU	 5	 0.033325
CPU	 7	 0.016675
CPU	 9	 0.033325
CPU	 11	 0.033325
CPU	 13	 0.03335
CPU	 15	 0.033325
CPU	 17	 0.033325
CPU	 19	 0.03335
CPU	 21	 0.033325
CPU	 23	 0.033325
CPU	 25	 0.03335
CPU	 27	 0.033325
CPU	 29	 0.05
CPU	 31	 0.033325
CPU	 33	 0.03335
CPU	 35	 0.033325
CPU	 37	 0.033325
CPU	 39	 0.03335
CPU	 41	 0.033325
CPU	 43	 0.033325
CPU	 45	 0.03335
CPU	 47	 0.033325
CPU	 49	 0.033325
CPU	 51	 0.033325
CPU	 53	 0.03335
CPU	 55	 0.033325
CPU	 57	 0.033325
CPU	 59	 0.03335
CPU	 61	 0.033325
CPU	 63	 0.033325
CPU	 65	 0.016675
CPU	 67	 0.033325
CPU	 69	 0.03335
CPU	 71	 0.033325
CPU	 73	 0.033325
CPU	 75	 0.03335
CPU	 77	 0.033325
CPU	 79	 0.033325
CPU	 81	 0.033325
CPU	 83	 0.03335
CPU	 85	 0.033325
CPU	 87	 0.033325
CPU	 89	 0.03335
CPU	 91	 0.033325
CPU	 93	 0.033325
CPU	 95	 0.03335
CPU	 97	 0.033325
CPU	 99	 0.05
IO	 0	 243.8
IO	 2	 243.75
IO	 4	 243.717
IO	 6	 243.683
IO	 8	 243.667
IO	 10	 243.633
IO	 12	 243.6
IO	 14	 243.567
IO	 16	 243.533
IO	 18	 243.5
IO	 20	 243.467
IO	 22	 243.433
IO	 24	 243.417
IO	 26	 243.383
IO	 28	 243.35
IO	 30	 243.3
IO	 32	 243.267
IO	 34	 243.233
IO	 36	 243.2
IO	 38	 243.167
IO	 40	 243.133
IO	 42	 243.1
IO	 44	 243.067
IO	 46	 243.033
IO	 48	 243
IO	 50	 242.95
IO	 52	 242.917
IO	 54	 242.883
IO	 56	 242.85
IO	 58	 242.817
IO	 60	 242.783
IO	 62	 242.75
IO	 64	 242.717
IO	 66	 242.7
IO	 68	 242.667
IO	 70	 242.633
IO	 72	 242.6
IO	 74	 242.567
IO	 76	 242.533
IO	 78	 242.5
IO	 80	 242.467
IO	 82	 242.433
IO	 84	 242.4
IO	 86	 242.367
IO	 88	 242.333
IO	 90	 242.3
IO	 92	 242.267
IO	 94	 242.233
IO	 96	 242.2
IO	 98	 242.167
