CPU	 1	 0.11665	 0.011
CPU	 3	 0.1	 0.003
CPU	 5	 0.116675	 0.0192
CPU	 7	 0.1	 0.00933333
CPU	 9	 0.1	 0.0152
IO	 0	 19.2333	 1.85315e-05
IO	 2	 19.1167	 1.85303e-05
IO	 4	 19.0167	 1.84296e-05
IO	 6	 18.9	 1.83184e-05
IO	 8	 18.8	 1.82225e-05
CPU	 1	 0.133325	 0.0195
CPU	 3	 0.133325	 0.0102
CPU	 5	 0.13335	 0.0092
CPU	 7	 0.13335	 0.0131667
CPU	 9	 0.15	 0.0116
CPU	 11	 0.133325	 0.0086
CPU	 13	 0.133325	 0.0138333
CPU	 15	 0.166675	 0.0304
CPU	 17	 0.133325	 0.0208333
CPU	 19	 0.15	 0.00671429
CPU	 21	 0.15	 0.0174
CPU	 23	 0.13335	 0.0088
CPU	 25	 0.15	 0.0208333
CPU	 27	 0.183325	 0.0182
CPU	 29	 0.15	 0.0122
CPU	 31	 0.133325	 0.013
CPU	 33	 0.116675	 0.00966667
CPU	 35	 0.133325	 0.0078
CPU	 37	 0.13335	 0.0161667
CPU	 39	 0.11665	 0.0054
CPU	 41	 0.18335	 0.0294
CPU	 43	 0.16665	 0.0165
CPU	 45	 0.1	 0.015
CPU	 47	 0.116675	 0.00633333
CPU	 49	 0.133325	 0.0126667
CPU	 51	 0.116675	 0.004
CPU	 53	 0.16665	 0.029
CPU	 55	 0.13335	 0.0166667
CPU	 57	 0.11665	 0.004
CPU	 59	 0.13335	 0.0168333
CPU	 61	 0.15	 0.0158333
CPU	 63	 0.1	 0.00383333
CPU	 65	 0.16665	 0.0186
CPU	 67	 0.15	 0.0155
CPU	 69	 0.116675	 0.0046
CPU	 71	 0.11665	 0.005
CPU	 73	 0.15	 0.0163333
CPU	 75	 0.13335	 0.015
CPU	 77	 0.15	 0.0176667
CPU	 79	 0.11665	 0.0121667
CPU	 81	 0.116675	 0.0078
CPU	 83	 0.15	 0.01
CPU	 85	 0.11665	 0.0115
CPU	 87	 0.116675	 0.0062
CPU	 89	 0.133325	 0.0088
CPU	 91	 0.166675	 0.0182857
CPU	 93	 0.116675	 0.006
CPU	 95	 0.15	 0.004
CPU	 97	 0.13335	 0.0143333
CPU	 99	 0.13335	 0.007
IO	 0	 362.117	 0.000290368
IO	 2	 361.983	 0.000290364
IO	 4	 361.85	 0.00029024
IO	 6	 361.717	 0.000289971
IO	 8	 361.583	 0.000289976
IO	 10	 361.433	 0.000289837
IO	 12	 361.3	 0.000289687
IO	 14	 361.167	 0.000289567
IO	 16	 361	 0.000289434
IO	 18	 360.867	 0.00028928
IO	 20	 360.683	 0.00028915
IO	 22	 360.517	 0.000288999
IO	 24	 360.383	 0.00028886
IO	 26	 360.233	 0.000288734
IO	 28	 360.05	 0.000288586
IO	 30	 359.9	 0.000288402
IO	 32	 359.767	 0.000288281
IO	 34	 359.65	 0.000288152
IO	 36	 359.533	 0.000288024
IO	 38	 359.4	 0.000287909
IO	 40	 359.283	 0.000287776
IO	 42	 359.1	 0.000287666
IO	 44	 358.933	 0.000287491
IO	 46	 358.833	 0.00028735
IO	 48	 358.717	 0.000287255
IO	 50	 358.567	 0.000287121
IO	 52	 358.45	 0.000287006
IO	 54	 358.283	 0.000286894
IO	 56	 358.15	 0.000286731
IO	 58	 358.033	 0.000286616
IO	 60	 357.9	 0.000286493
IO	 62	 357.75	 0.000286378
IO	 64	 357.65	 0.000286222
IO	 66	 357.467	 0.000286112
IO	 68	 357.317	 0.000285955
IO	 70	 357.2	 0.00028582
IO	 72	 357.083	 0.0002857
IO	 74	 356.933	 0.000285596
IO	 76	 356.8	 0.000285446
IO	 78	 356.65	 0.000285318
IO	 80	 356.533	 0.000285165
IO	 82	 356.4	 0.000285015
IO	 84	 356.25	 0.000284911
IO	 86	 356.133	 0.000284785
IO	 88	 356.017	 0.000284662
IO	 90	 355.883	 0.000284556
IO	 92	 355.717	 0.000284429
IO	 94	 355.6	 0.000284268
IO	 96	 355.433	 0.000284141
IO	 98	 355.283	 0.000284015
CPU	 1	 0.23335	 0.0338333
CPU	 3	 0.21665	 0.0235
CPU	 5	 0.266675	 0.0042
CPU	 7	 0.266675	 0.0378333
CPU	 9	 0.2	 0.0198
CPU	 11	 0.21665	 0.03
CPU	 13	 0.266675	 0.0336667
CPU	 15	 0.283325	 0.0368
CPU	 17	 0.266675	 0.0321667
CPU	 19	 0.216675	 0.0227143
CPU	 21	 0.233325	 0.0264
CPU	 23	 0.233325	 0.0268
CPU	 25	 0.25	 0.0303333
CPU	 27	 0.1	 0.00116667
CPU	 29	 0.116675	 0.0044
CPU	 31	 0.116675	 0.0136667
CPU	 33	 0.11665	 0.0032
CPU	 35	 0.1	 0.0188
CPU	 37	 0.13335	 0.00816667
CPU	 39	 0.1	 0.0032
CPU	 41	 0.1	 0.0062
CPU	 43	 0.116675	 0.00633333
CPU	 45	 0.1	 0.0145
CPU	 47	 0.116675	 0.0162
CPU	 49	 0.1	 0.01
CPU	 51	 0.1	 0.0164
CPU	 53	 0.116675	 0.0105714
CPU	 55	 0.1	 0.009
CPU	 57	 0.116675	 0.0174
CPU	 59	 0.11665	 0.0052
CPU	 61	 0.116675	 0.007
CPU	 63	 0.1	 0.00616667
CPU	 65	 0.133325	 0.0066
CPU	 67	 0.1	 0.00883333
CPU	 69	 0.116675	 0.0202
CPU	 71	 0.1	 0.0018
CPU	 73	 0.11665	 0.0132857
CPU	 75	 0.116675	 0.0121667
CPU	 77	 0.116675	 0.0154
CPU	 79	 0.11665	 0.00883333
